ano	regiao	sg_estado	id_cbo	renda_mensal_total	total_empregos	total_estabelecimentos
2014	Norte	AC	8181	27495.94	18	6
2014	Norte	AC	8202	12815.42	8	8
2014	Norte	AC	8211	3408.28	3	2
2014	Norte	AC	8212	13624.33	13	9
2014	Norte	AC	8213	1819.16	1	1
2014	Norte	AC	8214	14674.83	10	4
2014	Norte	AC	8221	3897.05	4	2
2014	Norte	AC	8231	3302.16	2	2
2014	Norte	AC	8233	121218.04	135	23
2014	Norte	AC	8281	365122.51	385	48
2014	Norte	AC	8301	1032.38	1	1
2014	Norte	AC	8321	3567.8	4	2
2014	Norte	AC	8331	84805.29	86	1
2014	Norte	AC	8401	50185.51	23	13
2014	Norte	AC	8411	1424.14	1	1
2014	Norte	AC	8413	6078.53	2	1
2014	Norte	AC	8414	75311.7	76	35
2014	Norte	AC	8415	6387.9	8	2
2014	Norte	AC	8416	9710.16	11	7
2014	Norte	AC	8417	6745.99	6	3
2014	Norte	AC	8418	47349.61	35	15
2014	Norte	AC	8421	4354.15	2	2
2014	Norte	AC	8481	28218.32	28	13
2014	Norte	AC	8482	5119.05	5	3
2014	Norte	AC	8483	526258.02	467	168
2014	Norte	AC	8485	882941.43	814	212
2014	Norte	AC	8486	1049.17	1	1
2014	Norte	AC	8601	48660.67	7	6
2014	Norte	AC	8611	284503.26	76	6
2014	Norte	AC	8612	797210.32	57	2
2014	Norte	AC	8621	548954.12	311	45
2014	Norte	AC	8623	191078.99	73	5
2014	Norte	AC	8624	8595.8	3	1
2014	Norte	AC	8625	7539.72	6	4
2014	Norte	AC	9101	99622.29	29	13
2014	Norte	AC	9102	41453.34	18	13
2014	Norte	AC	9109	4532.07	2	1
2014	Norte	AC	9111	65558.88	41	20
2014	Norte	AC	9112	45703.53	40	14
2014	Norte	AC	9113	208751.57	132	59
2014	Norte	AC	9131	92658.77	62	21
2014	Norte	AC	9141	80639.1	19	10
2014	Norte	AC	9143	32599.35	15	8
2014	Norte	AC	9144	847347	582	211
2014	Norte	AC	9151	27324.93	3	3
2014	Norte	AC	9152	2063.95	2	1
2014	Norte	AC	9153	7350.57	2	1
2014	Norte	AC	9191	34189.18	26	10
2014	Norte	AC	9192	175532.19	76	24
2014	Norte	AC	9193	56409.97	56	27
2014	Norte	AC	9501	41139.6	18	7
2014	Norte	AC	9503	26719.9	5	4
2014	Norte	AC	9511	159930.66	88	35
2014	Norte	AC	9513	96000.83	87	12
2014	Norte	AC	9531	70983.24	46	21
2014	Norte	AC	9541	26714.69	6	5
2014	Norte	AC	9542	1997.08	2	2
2014	Norte	AC	9543	4027.39	6	4
2014	Norte	AC	9911	14450.2	10	5
2014	Norte	AC	9912	2499.67	2	2
2014	Norte	AC	9913	125286.21	68	25
2014	Norte	AC	9921	145547.01	118	52
2014	Norte	AC	9922	626792.87	533	118
2014	Norte	AC	xxxx	13687098.14	3980	25
2014	Norte	AM	1112	1137352.01	333	52
2014	Norte	AM	1113	6932553.31	255	4
2014	Norte	AM	1114	40086408.87	7575	167
2014	Norte	AM	1115	176160.76	31	19
2014	Norte	AM	1130	56984.73	17	4
2014	Norte	AM	1141	6198.53	4	2
2014	Norte	AM	1142	14132.68	9	7
2014	Norte	AM	1143	7230.49	4	4
2014	Norte	AM	1144	102611.69	10	8
2014	Norte	AM	1210	2012345.19	169	122
2014	Norte	AM	1221	105593.27	10	9
2014	Norte	AM	1222	532171.64	23	18
2014	Norte	AM	1223	241362.67	30	6
2014	Norte	AM	1224	200523.02	20	15
2014	Norte	AM	1225	67079.43	19	17
2014	Norte	AM	1226	122414.15	10	9
2014	Norte	AM	1227	127045.01	15	6
2014	Norte	AM	1231	4244960.63	1096	286
2014	Norte	AM	1232	143550.35	23	20
2014	Norte	AM	1233	326615.56	40	40
2014	Norte	AM	1234	47296.82	12	9
2014	Norte	AM	1236	82929.26	13	13
2014	Norte	AM	1237	487889.27	22	16
2014	Norte	AM	1238	76645.69	22	8
2014	Norte	AM	1311	821228.55	250	67
2014	Norte	AM	1312	743030.65	193	50
2014	Norte	AM	1313	1308173.12	425	95
2014	Norte	AM	1411	210387.65	52	31
2014	Norte	AM	1412	7243399.65	782	393
2014	Norte	AM	1413	596107.51	103	66
2014	Norte	AM	1414	4562931.63	1775	1110
2014	Norte	AM	1415	1147521.58	529	246
2014	Norte	AM	1416	2799988.35	619	398
2014	Norte	AM	1417	1616465.83	209	152
2014	Norte	AM	1421	15687159.53	3583	2253
2014	Norte	AM	1422	2802206.5	567	441
2014	Norte	AM	1423	10949026.86	2987	1856
2014	Norte	AM	1424	1916882.66	389	252
2014	Norte	AM	1425	2381734.79	287	153
2014	Norte	AM	1426	1273993.44	106	61
2014	Norte	AM	1427	1405804.82	201	151
2014	Norte	AM	2011	16742.8	4	3
2014	Norte	AM	2012	66594.6	16	7
2014	Norte	AM	2021	138544.09	27	15
2014	Norte	AM	2030	1315645.83	91	9
2014	Norte	AM	2031	1314194.43	103	10
2014	Norte	AM	2032	1639880.59	231	41
2014	Norte	AM	2033	280798.16	30	5
2014	Norte	AM	2034	1130282.89	71	3
2014	Norte	AM	2035	161497.69	26	14
2014	Norte	AM	2041	378463.79	20	1
2014	Norte	AM	2111	38457.25	8	6
2014	Norte	AM	2112	108497.67	27	14
2014	Norte	AM	2122	593295.98	73	14
2014	Norte	AM	2123	673986.59	180	88
2014	Norte	AM	2124	8890951.59	1793	481
2014	Norte	AM	2131	16990.17	4	4
2014	Norte	AM	2132	566865.57	158	46
2014	Norte	AM	2133	14182.9	3	2
2014	Norte	AM	2134	2087185.67	116	12
2014	Norte	AM	2140	272120.86	39	19
2014	Norte	AM	2141	1224589.98	157	82
2014	Norte	AM	2142	6217269.17	763	270
2014	Norte	AM	2143	5881227.86	609	128
2014	Norte	AM	2144	3860968.73	259	81
2014	Norte	AM	2145	2062260.57	106	27
2014	Norte	AM	2146	182511.92	25	10
2014	Norte	AM	2147	182255.66	13	6
2014	Norte	AM	2148	76990.04	4	1
2014	Norte	AM	2149	5018645.5	703	212
2014	Norte	AM	2151	596994.93	215	86
2014	Norte	AM	2152	86115.63	15	6
2014	Norte	AM	2153	1336860.85	167	22
2014	Norte	AM	2211	480618.21	58	29
2014	Norte	AM	2212	53110.06	14	12
2014	Norte	AM	2221	2503192.77	286	51
2014	Norte	AM	2222	3433.75	2	2
2014	Norte	AM	2232	6741032.66	1053	86
2014	Norte	AM	2233	594069.51	95	28
2014	Norte	AM	2234	5968639.79	1248	255
2014	Norte	AM	2235	15395158.61	2952	166
2014	Norte	AM	2236	1337895.66	344	76
2014	Norte	AM	2237	1275908.38	386	135
2014	Norte	AM	2238	210084.58	58	31
2014	Norte	AM	2239	103465.39	25	9
2014	Norte	AM	2241	747402.37	439	65
2014	Norte	AM	2251	20166544.58	2433	159
2014	Norte	AM	2252	1184532.95	134	20
2014	Norte	AM	2253	99765.01	15	11
2014	Norte	AM	2311	2110281.94	1383	122
2014	Norte	AM	2312	42172635.81	17410	231
2014	Norte	AM	2313	24554861.68	8947	143
2014	Norte	AM	2321	34080038.9	11460	119
2014	Norte	AM	2331	506769.83	189	24
2014	Norte	AM	2332	2080460.62	992	90
